Year,Tm,off_rat,POSS_TOT,wins_tot,losses_tot
2017.0,GSW,113.70489135637024,8357.6,67,15
2010.0,PHO,113.58364375424415,7958.012,54,28
2016.0,GSW,112.9285916350612,8342.44,73,9
2017.0,HOU,112.61974629717038,8398.172,55,27
2005.0,PHO,112.34811785260483,8058.88,62,20
2007.0,PHO,112.09972447061193,8061.572,61,21
2008.0,PHO,111.94383410980467,8062.972,55,27
2009.0,POR,111.76503488527668,7294.768,54,28
2009.0,PHO,111.62474581550248,8039.436,46,36
2017.0,CLE,111.53752655919551,8112.068,51,31
2008.0,UTA,111.36785813652804,7820.928,54,28
2013.0,MIA,111.25277802248583,7582.732,66,16
2013.0,OKC,111.0206678503407,7808.456,60,22
2017.0,LAC,110.9601922994548,8030.808,51,31
2008.0,LAL,110.91567717857623,8027.72,57,25
2017.0,TOR,110.9084722832614,7900.208,51,31
2009.0,CLE,110.71419338994662,7427.232,66,16
2017.0,DEN,110.65485059843726,8278.896,40,42
2015.0,LAC,110.57323205393033,7914.2119999999995,56,26
2016.0,OKC,110.47262923879738,8181.2119999999995,55,27
2009.0,LAL,110.26251230518571,7951.932,65,17
2011.0,MIA,110.22621068392144,7592.568,58,24
2004.0,DAL,110.17525861681388,7829.344,52,30
2011.0,SAS,110.15772949138277,7718.024,61,21
2015.0,GSW,110.15104963590045,8185.124,67,15
2014.0,LAC,110.15102016025044,8034.424,57,25
2010.0,ORL,110.1475920214763,7649.736,59,23
2011.0,DEN,109.98566478975773,8011.044,50,32
2006.0,PHO,109.97388646180121,8080.1,54,28
2010.0,CLE,109.8893887771869,7619.48,61,21
2008.0,NOH,109.8382681307519,7529.252,56,26
2014.0,MIA,109.79473886670867,7632.424,54,28
2008.0,ORL,109.6987695094018,7809.568,52,30
2006.0,DAL,109.68119333138345,7412.392,60,22
2010.0,ATL,109.60230845754403,7607.504,53,29
2014.0,HOU,109.56318180712611,8058.364,54,28
2017.0,SAS,109.51742844912062,7886.416,61,21
2007.0,DAL,109.5128341403356,7488.62,67,15
2008.0,GSW,109.4984789272252,8315.184,48,34
2014.0,DAL,109.4380204257148,7855.588,49,33
2008.0,DAL,109.42628942017622,7524.7,51,31
2011.0,OKC,109.40790923980086,7856.836,55,27
2017.0,WAS,109.36922797272231,8186.032,49,33
2017.0,BOS,109.33612222536598,8100.708,53,29
2010.0,TOR,109.33389089261756,7805.448,40,42
2013.0,NYK,109.26770374107234,7500.844,54,28
2005.0,SEA,109.264286241454,7425.116,52,30
2010.0,DEN,109.2423892007597,7990.488,53,29
2010.0,POR,109.13819758232778,7371.388,50,32
2016.0,SAS,109.06999904419223,7783.992,67,15
2016.0,CLE,109.0032755770994,7848.388,57,25
2011.0,HOU,108.98224511706839,7969.188,43,39
2015.0,TOR,108.95587382943032,7826.104,49,33
2017.0,MIN,108.9082056174845,7948.896,31,51
2009.0,BOS,108.90020661428929,7598.7,62,20
2005.0,MIA,108.86139892715242,7649.1759999999995,59,23
2011.0,NYK,108.84937708843994,8023.932,42,40
2008.0,DET,108.82738223303113,7343.74,59,23
2014.0,POR,108.7905444573374,8045.736,54,28
2009.0,DAL,108.78193440174239,7669.472,50,32
2014.0,OKC,108.7218259971184,8006.6720000000005,59,23
2013.0,LAC,108.70580162955099,7625.168,56,26
2008.0,BOS,108.69083764581315,7585.736,66,16
2014.0,SAS,108.65420218460473,7950.912,62,20
2011.0,LAL,108.603098679639,7661.844,57,25
2017.0,POR,108.57671396887083,8151.84,41,41
2015.0,CLE,108.5730748018031,7789.224,53,29
2010.0,UTA,108.56658572759048,7872.588,53,29
2006.0,DET,108.55479002624672,7315.2,64,18
2008.0,TOR,108.42182172944882,7576.888,41,41
2013.0,DEN,108.35941063635259,8032.528,57,25
2017.0,UTA,108.35137440136457,7621.5,51,31
2006.0,SEA,108.31458335908879,7765.344,35,47
2005.0,DAL,108.28528670285023,7761.904,58,24
2016.0,TOR,108.22633207570446,7781.84,56,26
2011.0,DAL,108.20630281968248,7596.6,57,25
2005.0,SAC,108.127088804314,7865.744,50,32
2009.0,DEN,108.0813792775843,7915.332,54,28
2010.0,SAS,108.05352341324337,7692.484,50,32
2008.0,DEN,108.03301805249114,8399.284,50,32
2011.0,PHO,107.84774918704012,7984.404,40,42
2010.0,DAL,107.83464323287332,7756.32,55,27
2004.0,SAC,107.82254962931444,7821.184,55,27
2009.0,ORL,107.80208131133959,7686.308,59,23
2009.0,UTA,107.80108136214258,7877.472,48,34
2014.0,PHO,107.77164850031424,8006.744,48,34
2015.0,DAL,107.7079870191153,8010.548,50,32
2017.0,MIL,107.69595797310048,7889.804,42,40
2013.0,HOU,107.51235129809285,8080.932,45,37
2006.0,TOR,107.50046310685808,7708.804,27,55
2007.0,SAS,107.44379781042866,7519.28,58,24
2007.0,WAS,107.42940371407406,7964.3,41,41
2009.0,ATL,107.42237044830082,7490.0599999999995,47,35
2007.0,UTA,107.37465988992614,7750.432,51,31
2009.0,NOH,107.28933901464772,7323.188,49,33
2016.0,LAC,107.21607072431969,7992.272,53,29
2015.0,ATL,107.21033829457917,7843.46,60,22
2006.0,MIA,107.16771597088116,7643.16,52,30
2009.0,GSW,107.14828890018327,8310.912,29,53
2017.0,CHO,107.11739747939724,8029.508,36,46
2009.0,SAS,107.04184128108021,7434.476,54,28
2007.0,DET,106.90179266918784,7363.768,53,29
2015.0,SAS,106.87474547617052,7916.744,55,27
2017.0,IND,106.8488925058979,8065.596,42,40
2016.0,POR,106.8453916697771,8069.604,44,38
2008.0,WAS,106.79914117887064,7588.076,43,39
2014.0,TOR,106.77579525789473,7777.98,48,34
2006.0,WAS,106.74512399132516,7809.256,42,40
2010.0,OKC,106.73938249689607,7796.5599999999995,50,32
2013.0,SAS,106.66531988232471,7920.1,58,24
2010.0,BOS,106.47486533599259,7641.24,50,32
2010.0,LAL,106.4535977716105,7833.46,57,25
2011.0,ORL,106.43676151728188,7643.036,52,30
2011.0,CHI,106.41506375166327,7599.488,62,20
2011.0,POR,106.39989435471483,7421.0599999999995,48,34
2009.0,HOU,106.37024648899101,7586.708,53,29
2009.0,NJN,106.34191225073636,7564.28,34,48
2016.0,HOU,106.3354352949424,8216.452,41,41
2015.0,NOP,106.26835923844706,7666.44,45,37
2007.0,LAL,106.19904663985415,7979.356,42,40
2017.0,MIA,106.17672425477996,7967.848,41,41
2014.0,NYK,106.17116620174097,7614.12,37,45
2014.0,MIN,106.15994021723074,8259.236,40,42
2006.0,LAL,106.15816290395824,7680.992,45,37
2013.0,LAL,106.1288559560056,7897.004,45,37
2011.0,GSW,106.12141682169047,7988.02,36,46
2013.0,BRK,106.05167375813811,7490.688,49,33
2009.0,IND,106.04181126354288,8126.04,36,46
2015.0,POR,106.02777125071259,7949.804,51,31
2009.0,CHI,105.94774290081834,7907.6720000000005,41,41
2010.0,GSW,105.93607739674142,8422.06,26,56
2016.0,CHO,105.89119196091156,8007.276,48,34
2009.0,MIA,105.88806471664138,7612.756,43,39
2010.0,NOH,105.88422603268036,7763.196,37,45
2010.0,NYK,105.88113896896328,7907.924,29,53
2009.0,NYK,105.87354572676846,8148.4,32,50
2006.0,SAS,105.86998188173796,7402.476,63,19
2011.0,UTA,105.84743117774839,7702.596,39,43
2006.0,CLE,105.80949952979432,7562.648,50,32
2005.0,SAS,105.80364088999534,7455.32,59,23
2007.0,TOR,105.71331409749315,7716.152,47,35
2015.0,CHI,105.70118830388536,7819.2119999999995,50,32
2014.0,GSW,105.69044580128663,8088.716,51,31
2014.0,NOP,105.68564743154279,7737.096,34,48
2010.0,MEM,105.68314773809895,7952.072,40,42
2005.0,LAL,105.68254868447094,7659.732,34,48
2011.0,DET,105.65629956584044,7525.344,30,52
2005.0,MIN,105.63849107651667,7510.52,44,38
2010.0,MIA,105.57749046280668,7495.916,47,35
2008.0,SAS,105.56919345136203,7407.464,56,26
2009.0,PHI,105.56191132746581,7566.176,41,41
2017.0,NYK,105.51608910707934,8108.716,31,51
2017.0,OKC,105.47504919594732,8287.268,47,35
2005.0,BOS,105.46331466727493,7873.8279999999995,45,37
2007.0,DEN,105.43383968588796,8193.764,45,37
2016.0,DAL,105.39918244010417,7958.316,42,40
