Year,Tm,MP_SUM,OBPM_SUM,DBMP_SUM,OWS_SUM,DWS_SUM,WS_SUM,WS/48_SUM,3P_SUM,3PA_SUM,2P_SUM,2PA_SUM,FG_SUM,FGA_SUM,FT_SUM,FTA_SUM,ORB_SUM,DRB_SUM,TRB_SUM,STL_SUM,BLK_SUM,TOV_SUM,PTS_SUM,dbpm_tot,obpm_tot,POSS_TOT,pts_per_min,2ft_pct,3fg_pct,ts_pct,dbpm_norm,obpm_norm,off_rat,TEAM,games_tot,wins_tot,losses_tot
2004.0,ATL,19905.0,-59.6,-38.5,17.8,12.1,29.9,0.973,419.0,1249.0,2410.0,5280.0,2829.0,6529.0,1534.0,1976.0,996.0,2507.0,3503.0,627.0,408.0,1278.0,7611.0,-17620.4,-8245.699999999999,7672.536,0.3823662396382818,0.4564393939393939,0.3354683746997598,0.5143651904996188,-0.8852248178849536,-0.41425270032655104,99.19797052760651,Atlanta,82,28,54
2004.0,BOS,19705.0,-18.6,-15.700000000000001,20.8,18.5,38.8,1.8679999999999999,553.0,1599.0,2290.0,4816.0,2843.0,6415.0,1572.0,2095.0,851.0,2440.0,3291.0,770.0,331.0,1289.0,7811.0,-5450.6,-5215.3,7766.42,0.3963968535904593,0.4754983388704319,0.3458411507191995,0.5323165412713989,-0.276609997462573,-0.2646688657701091,100.57400964665831,Boston,82,36,46
2004.0,CHI,19830.0,-58.1,-6.9,6.2,18.7,25.5,0.8049999999999999,429.0,1256.0,2369.0,5497.0,2798.0,6753.0,1330.0,1834.0,1048.0,2519.0,3567.0,659.0,396.0,1249.0,7355.0,-4503.8,-30221.5,7753.624,0.3709026727181039,0.4309623430962343,0.34156050955414013,0.4864443727215488,-0.2271205244578921,-1.5240292486132123,94.8588685755203,Chicago,82,23,59
2004.0,CLE,19855.0,-54.2,-26.9,18.2,17.2,35.4,1.062,247.0,786.0,2675.0,5967.0,2922.0,6753.0,1528.0,2030.0,1118.0,2619.0,3737.0,585.0,537.0,1167.0,7619.0,-8784.8,-7448.3,7687.08,0.3837320574162679,0.4482989777107424,0.3142493638676845,0.49822133870419294,-0.4424477461596575,-0.37513472676907583,99.11435811777685,Cleveland,82,35,47
2004.0,DAL,19805.0,-3.4999999999999996,-8.6,45.4,9.5,54.9,1.2289999999999999,507.0,1456.0,2815.0,5774.0,3322.0,7230.0,1475.0,1854.0,1174.0,2538.0,3712.0,656.0,437.0,965.0,8626.0,-19631.199999999997,45518.7,7829.344,0.43554657914668016,0.48753030827848975,0.3482142857142857,0.5360587439844091,-0.9912244382731632,2.298343852562484,110.17525861681388,Dallas,82,52,30
2004.0,DEN,19730.0,-31.5,-1.6999999999999988,25.0,20.6,45.7,0.985,331.0,985.0,2662.0,5778.0,2993.0,6763.0,1655.0,2159.0,1083.0,2387.0,3470.0,745.0,520.0,1201.0,7972.0,2676.1000000000017,3970.500000000001,7822.324,0.4040547389761784,0.4607130494980962,0.33604060913705586,0.5167925154545078,0.13563608717688808,0.20124176381145467,101.91344669435836,Denver,82,43,39
2004.0,DET,19780.0,-37.1,20.9,20.3,38.7,58.6,1.746,333.0,968.0,2414.0,5346.0,2747.0,6314.0,1561.0,2074.0,1014.0,2492.0,3506.0,659.0,570.0,1179.0,7388.0,32209.9,-4575.1,7383.264,0.37350859453993934,0.4515525626636738,0.3440082644628099,0.5111699065668865,1.628407482305359,-0.23129929221435797,100.06414507188148,Detroit,82,54,28
2004.0,GSW,19855.0,-49.6,-20.5,22.1,18.0,40.2,0.6299999999999999,429.0,1283.0,2446.0,5228.0,2875.0,6511.0,1470.0,2028.0,1002.0,2533.0,3535.0,576.0,389.0,1154.0,7649.0,-740.2999999999997,248.70000000000073,7547.208,0.3852430118358096,0.4678653404743688,0.3343725643024162,0.5165925557722751,-0.037285318559556774,0.01252581213800054,101.3487371753899,Golden State,82,37,45
2004.0,HOU,19930.0,-34.9,8.2,18.0,30.0,48.0,1.743,515.0,1406.0,2223.0,4789.0,2738.0,6195.0,1371.0,1774.0,847.0,2647.0,3494.0,560.0,443.0,1295.0,7362.0,22220.1,-10106.900000000001,7416.464,0.3693928750627195,0.4641887659219044,0.3662873399715505,0.5276995682067103,1.1149071751128952,-0.5071199197190166,99.26563386541079,Houston,82,45,37
2004.0,IND,19805.0,-19.7,6.199999999999999,24.700000000000003,34.2,59.0,1.676,449.0,1281.0,2304.0,5041.0,2753.0,6322.0,1538.0,2014.0,965.0,2452.0,3417.0,726.0,411.0,1108.0,7493.0,23720.8,3259.899999999999,7343.104,0.3783388033324918,0.45705217218805794,0.3505074160811866,0.5197581629708553,1.1977177480434233,0.1645998485231002,102.04131658764467,Indiana,82,61,21
