Year,TEAM,Tm_Abrev
2004,Golden State,GSW
2004,San Antonio,SAS
2004,Houston,HOU
2004, L.A. Clippers,LAC
2004,Utah,UTA
2004,Seattle,SEA
2004,Memphis,MEM
2004,Portland,POR
2004,Denver,DEN
2004,New Orleans,NOH
2004,Dallas,DAL
2004,Sacramento,SAC
2004,Minnesota,MIN
2004,L.A. Lakers,LAL
2004,Phoenix,PHO
2004,Boston,BOS
2004,Cleveland,CLE
2004,Toronto,TOR
2004,Washington,WAS
2004,Atlanta,ATL
2004,Indiana,IND
2004,Milwaukee,MIL
2004,Chicago,CHI
2004,Miami,MIA
2004,Detroit,DET
2004,New York,NYK
2004,Orlando,ORL
2004,Philadelphia,PHI
2004,New Jersey,NJN
2005,Golden State,GSW
2005,San Antonio,SAS
2005,Houston,HOU
2005,L.A. Clippers,LAC
2005,Utah,UTA
2005,Seattle,SEA
2005,Memphis,MEM
2005,Portland,POR
2005,Denver,DEN
2005,New Orleans,NOH
2005,Dallas,DAL
2005,Sacramento,SAC
2005,Minnesota,MIN
2005,L.A. Lakers,LAL
2005,Phoenix,PHO
2005,Boston,BOS
2005,Cleveland,CLE
2005,Toronto,TOR
2005,Washington,WAS
2005,Atlanta,ATL
2005,Indiana,IND
2005,Milwaukee,MIL
2005,Chicago,CHI
2005,Miami,MIA
2005,Detroit,DET
2005,New York,NYK
2005,Orlando,ORL
2005,Philadelphia,PHI
2005,New Jersey,NJN
2005,Charlotte,CHA
2006,Golden State,GSW
2006,San Antonio,SAS
2006,Houston,HOU
2006, L.A. Clippers,LAC
2006,Utah,UTA
2006,Seattle,SEA
2006,Memphis,MEM
2006,Portland,POR
2006,Denver,DEN
2006,New Orleans/Oklahoma City,NOK
2006,Dallas,DAL
2006,Sacramento,SAC
2006,Minnesota,MIN
2006,L.A. Lakers,LAL
2006,Phoenix,PHO
2006,Boston,BOS
2006,Cleveland,CLE
2006,Toronto,TOR
2006,Washington,WAS
2006,Atlanta,ATL
2006,Indiana,IND
2006,Milwaukee,MIL
2006,Chicago,CHI
2006,Miami,MIA
2006,Detroit,DET
2006,New York,NYK
2006,Orlando,ORL
2006,Philadelphia,PHI
2006,New Jersey,NJN
2006,Charlotte,CHA
2007,Golden State,GSW
2007,San Antonio,SAS
2007,Houston,HOU
2007,L.A. Clippers,LAC
2007,Utah,UTA
2007,Seattle,SEA
2007,Memphis,MEM
2007,Portland,POR
2007,Denver,DEN
2007,New Orleans/Oklahoma City,NOK
2007,Dallas,DAL
2007,Sacramento,SAC
2007,Minnesota,MIN
2007,L.A. Lakers,LAL
2007,Phoenix,PHO
2007,Boston,BOS
2007,Cleveland,CLE
2007,Toronto,TOR
2007,Washington,WAS
2007,Atlanta,ATL
2007,Indiana,IND
2007,Milwaukee,MIL
2007,Chicago,CHI
2007,Miami,MIA
2007,Detroit,DET
2007,New York,NYK
2007,Orlando,ORL
2007,Philadelphia,PHI
2007,New Jersey,NJN
2007,Charlotte,CHA
2008,Golden State,GSW
2008,San Antonio,SAS
2008,Houston,HOU
2008,L.A. Clippers,LAC
2008,Utah,UTA
2008,Seattle,SEA
2008,Memphis,MEM
2008,Portland,POR
2008,Denver,DEN
2008,New Orleans,NOH
2008,Dallas,DAL
2008,Sacramento,SAC
2008,Minnesota,MIN
2008,L.A. Lakers,LAL
2008,Phoenix,PHO
2008,Boston,BOS
2008,Cleveland,CLE
2008,Toronto,TOR
2008,Washington,WAS
2008,Atlanta,ATL
2008,Indiana,IND
2008,Milwaukee,MIL
2008,Chicago,CHI
2008,Miami,MIA
2008,Detroit,DET
2008,New York,NYK
2008,Orlando,ORL
2008,Philadelphia,PHI
2008,New Jersey,NJN
2008,Charlotte,CHA
2009,Golden State,GSW
2009,San Antonio,SAS
2009,Houston,HOU
2009,L.A. Clippers,LAC
2009,Utah,UTA
2009,Oklahoma City,OKC
2009,Memphis,MEM
2009,Portland,POR
2009,Denver,DEN
2009,New Orleans,NOH
2009,Dallas,DAL
2009,Sacramento,SAC
2009,Minnesota,MIN
2009,L.A. Lakers,LAL
2009,Phoenix,PHO
2009,Boston,BOS
2009,Cleveland,CLE
2009,Toronto,TOR
2009,Washington,WAS
2009,Atlanta,ATL
2009,Indiana,IND
2009,Milwaukee,MIL
2009,Chicago,CHI
2009,Miami,MIA
2009,Detroit,DET
2009,New York,NYK
2009,Orlando,ORL
2009,Philadelphia,PHI
2009,New Jersey,NJN
2009,Charlotte,CHA
2010,Golden State,GSW
2010,San Antonio,SAS
2010,Houston,HOU
2010,L.A. Clippers,LAC
2010,Utah,UTA
2010,Oklahoma City,OKC
2010,Memphis,MEM
2010,Portland,POR
2010,Denver,DEN
2010,New Orleans,NOH
2010,Dallas,DAL
2010,Sacramento,SAC
2010,Minnesota,MIN
2010,L.A. Lakers,LAL
2010,Phoenix,PHO
2010,Boston,BOS
2010,Cleveland,CLE
2010,Toronto,TOR
2010,Washington,WAS
2010,Atlanta,ATL
2010,Indiana,IND
2010,Milwaukee,MIL
2010,Chicago,CHI
2010,Miami,MIA
2010,Detroit,DET
2010,New York,NYK
2010,Orlando,ORL
2010,Philadelphia,PHI
2010,New Jersey,NJN
